record_id,category,condition,question,answer,common_symptoms,possible_cause_or_context,general_supportive_care,when_to_seek_medical_care,source_type,medical_safety_note
198,Respiratory,Pneumonia,I have chest discomfort. Could it be related to Pneumonia?,"Chest discomfort can occur with Pneumonia, but it is not specific to it. Other symptoms may include cough, fever, chills, shortness of breath. A symptom alone cannot confirm a diagnosis.","cough, fever, chills, shortness of breath, chest discomfort",Infection or inflammation of the lungs,Medical assessment is important; treatment depends on the cause,"Seek urgent care for severe breathing difficulty, blue/gray lips, confusion, or severe chest pain",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
199,Allergy,Allergic Rhinitis,I have sneezing. Could it be related to Allergic Rhinitis?,"Sneezing can occur with Allergic Rhinitis, but it is not specific to it. Other symptoms may include itchy nose, runny nose, nasal congestion. A symptom alone cannot confirm a diagnosis.","sneezing, itchy nose, runny nose, nasal congestion",Allergic reaction to environmental triggers,Avoid triggers and use clinician/pharmacist-advised symptom relief,Seek urgent care if symptoms include facial swelling or breathing difficulty,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
200,Allergy,Allergic Rhinitis,I have itchy nose. Could it be related to Allergic Rhinitis?,"Itchy nose can occur with Allergic Rhinitis, but it is not specific to it. Other symptoms may include sneezing, runny nose, nasal congestion. A symptom alone cannot confirm a diagnosis.","sneezing, itchy nose, runny nose, nasal congestion",Allergic reaction to environmental triggers,Avoid triggers and use clinician/pharmacist-advised symptom relief,Seek urgent care if symptoms include facial swelling or breathing difficulty,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
201,Allergy,Allergic Rhinitis,I have runny nose. Could it be related to Allergic Rhinitis?,"Runny nose can occur with Allergic Rhinitis, but it is not specific to it. Other symptoms may include sneezing, itchy nose, nasal congestion. A symptom alone cannot confirm a diagnosis.","sneezing, itchy nose, runny nose, nasal congestion",Allergic reaction to environmental triggers,Avoid triggers and use clinician/pharmacist-advised symptom relief,Seek urgent care if symptoms include facial swelling or breathing difficulty,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
202,Allergy,Allergic Rhinitis,I have nasal congestion. Could it be related to Allergic Rhinitis?,"Nasal congestion can occur with Allergic Rhinitis, but it is not specific to it. Other symptoms may include sneezing, itchy nose, runny nose. A symptom alone cannot confirm a diagnosis.","sneezing, itchy nose, runny nose, nasal congestion",Allergic reaction to environmental triggers,Avoid triggers and use clinician/pharmacist-advised symptom relief,Seek urgent care if symptoms include facial swelling or breathing difficulty,Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
203,Neurological,Migraine,I have throbbing headache. Could it be related to Migraine?,"Throbbing headache can occur with Migraine, but it is not specific to it. Other symptoms may include nausea, light sensitivity, sound sensitivity. A symptom alone cannot confirm a diagnosis.","throbbing headache, nausea, light sensitivity, sound sensitivity",Neurological condition with recurrent headache attacks,"Rest in a quiet dark room, hydration, and clinician-advised treatment","Seek urgent care for a sudden severe headache, new neurological symptoms, fainting, or severe neck stiffness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
204,Neurological,Migraine,I have nausea. Could it be related to Migraine?,"Nausea can occur with Migraine, but it is not specific to it. Other symptoms may include throbbing headache, light sensitivity, sound sensitivity. A symptom alone cannot confirm a diagnosis.","throbbing headache, nausea, light sensitivity, sound sensitivity",Neurological condition with recurrent headache attacks,"Rest in a quiet dark room, hydration, and clinician-advised treatment","Seek urgent care for a sudden severe headache, new neurological symptoms, fainting, or severe neck stiffness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
205,Neurological,Migraine,I have light sensitivity. Could it be related to Migraine?,"Light sensitivity can occur with Migraine, but it is not specific to it. Other symptoms may include throbbing headache, nausea, sound sensitivity. A symptom alone cannot confirm a diagnosis.","throbbing headache, nausea, light sensitivity, sound sensitivity",Neurological condition with recurrent headache attacks,"Rest in a quiet dark room, hydration, and clinician-advised treatment","Seek urgent care for a sudden severe headache, new neurological symptoms, fainting, or severe neck stiffness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
206,Neurological,Migraine,I have sound sensitivity. Could it be related to Migraine?,"Sound sensitivity can occur with Migraine, but it is not specific to it. Other symptoms may include throbbing headache, nausea, light sensitivity. A symptom alone cannot confirm a diagnosis.","throbbing headache, nausea, light sensitivity, sound sensitivity",Neurological condition with recurrent headache attacks,"Rest in a quiet dark room, hydration, and clinician-advised treatment","Seek urgent care for a sudden severe headache, new neurological symptoms, fainting, or severe neck stiffness",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
207,Cardiovascular,Hypertension,I have often no symptoms; sometimes headache or dizziness. Could it be related to Hypertension?,"Often no symptoms; sometimes headache or dizziness can occur with Hypertension, but it is not specific to it. Other symptoms may include other symptoms. A symptom alone cannot confirm a diagnosis.",often no symptoms; sometimes headache or dizziness,Persistently elevated blood pressure,"Regular blood-pressure monitoring, healthy lifestyle, and prescribed treatment","Very high blood pressure with chest pain, severe headache, confusion, weakness, or breathing difficulty needs urgent care",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
